Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
43,tt0062622,2016-03-12,2016-03-12,,2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/,movie,8.3,149,1968,"Adventure, Sci-Fi",558436,1968-04-02,Stanley Kubrick
44,tt0083922,2016-03-12,2016-03-12,,Fanny och Alexander,https://www.imdb.com/title/tt0083922/,movie,8.1,188,1982,Drama,53180,1982-12-17,Ingmar Bergman
45,tt0018806,2016-03-12,2016-03-12,,The Crowd,https://www.imdb.com/title/tt0018806/,movie,8.1,98,1928,"Drama, Romance",6954,1928-02-18,King Vidor
46,tt0056801,2016-03-12,2016-03-12,,8½,https://www.imdb.com/title/tt0056801/,movie,8.0,138,1963,Drama,101224,1963-02-13,Federico Fellini
47,tt0056119,2016-03-12,2016-03-12,,La jetée,https://www.imdb.com/title/tt0056119/,short,8.3,28,1962,"Short, Drama, Romance, Sci-Fi",27119,1962-02-16,Chris Marker
48,tt0059592,2016-03-12,2016-03-12,,Pierrot le fou,https://www.imdb.com/title/tt0059592/,movie,7.6,110,1965,"Crime, Drama, Romance",25935,1965-08-29,Jean-Luc Godard
49,tt0028201,2016-03-12,2016-03-12,,Le roman d'un tricheur,https://www.imdb.com/title/tt0028201/,movie,7.6,81,1936,Comedy,1733,1936-08-13,Sacha Guitry
50,tt0071129,2016-03-12,2016-03-12,,Amarcord,https://www.imdb.com/title/tt0071129/,movie,7.9,123,1973,"Comedy, Drama",36349,1973-12-18,Federico Fellini
51,tt0038348,2016-03-12,2016-03-12,,La belle et la bête,https://www.imdb.com/title/tt0038348/,movie,7.9,96,1946,"Drama, Fantasy, Romance",22732,1946-09-25,"René Clément, Jean Cocteau"
52,tt0053291,2016-03-12,2016-03-12,,Some Like It Hot,https://www.imdb.com/title/tt0053291/,movie,8.2,121,1959,"Comedy, Music, Romance",226636,1959-03-19,Billy Wilder
53,tt0052218,2016-03-12,2016-03-12,,Some Came Running,https://www.imdb.com/title/tt0052218/,movie,7.4,137,1958,"Drama, Romance",5311,1958-12-18,Vincente Minnelli
54,tt0058138,2016-03-12,2016-03-12,,Gertrud,https://www.imdb.com/title/tt0058138/,movie,7.4,116,1964,"Drama, Romance",5077,1964-12-18,Carl Theodor Dreyer
55,tt0024216,2016-03-12,2016-03-12,,King Kong,https://www.imdb.com/title/tt0024216/,movie,7.9,100,1933,"Adventure, Horror, Sci-Fi",75068,1933-03-02,"Ernest B. Schoedsack, Merian C. Cooper"
56,tt0037008,2016-03-12,2016-03-12,,Laura,https://www.imdb.com/title/tt0037008/,movie,8.0,88,1944,"Drama, Film-Noir, Mystery",39478,1944-10-11,Otto Preminger
57,tt0047478,2016-03-12,2016-03-12,,Shichinin no samurai,https://www.imdb.com/title/tt0047478/,movie,8.6,207,1954,"Action, Adventure, Drama",292346,1954-04-26,Akira Kurosawa
58,tt0053198,2016-03-12,2016-03-12,,Les quatre cents coups,https://www.imdb.com/title/tt0053198/,movie,8.1,99,1959,"Crime, Drama",94958,1959-05-04,François Truffaut
59,tt0053779,2016-03-12,2016-03-12,,La dolce vita,https://www.imdb.com/title/tt0053779/,movie,8.0,174,1960,"Comedy, Drama",60347,1960-02-03,Federico Fellini
60,tt0092843,2016-03-12,2016-03-12,,The Dead,https://www.imdb.com/title/tt0092843/,movie,7.3,83,1987,Drama,6689,1987-09-03,John Huston
61,tt0023622,2016-03-12,2016-03-12,,Trouble in Paradise,https://www.imdb.com/title/tt0023622/,movie,8.0,83,1932,"Comedy, Crime, Romance",11978,1932-10-28,Ernst Lubitsch
62,tt0038650,2016-03-12,2016-03-12,,It's a Wonderful Life,https://www.imdb.com/title/tt0038650/,movie,8.6,130,1946,"Drama, Family, Fantasy",366887,1946-12-20,Frank Capra
63,tt0039631,2016-03-12,2016-03-12,,Monsieur Verdoux,https://www.imdb.com/title/tt0039631/,movie,7.9,124,1947,"Comedy, Crime, Drama",14504,1947-04-11,Charles Chaplin
64,tt0019254,2016-03-12,2016-03-12,,La passion de Jeanne d'Arc,https://www.imdb.com/title/tt0019254/,movie,8.2,110,1928,"Biography, Drama, History",42224,1928-04-21,Carl Theodor Dreyer
65,tt0053472,2016-03-12,2016-03-12,,À bout de souffle,https://www.imdb.com/title/tt0053472/,movie,7.9,90,1960,"Crime, Drama",66449,1960-03-16,Jean-Luc Godard
