Const,Title,Sum
tt0085213,Le bal,24.166666666666668
tt0048960,Around the World in 80 Days,23.970944309927358
tt0074958,Network,23.906929477398435
tt0053221,Rio Bravo,23.856610632526078
tt0115751,Breaking the Waves,23.796390534695213
tt0064115,Butch Cassidy and the Sundance Kid,23.79202915502834
tt0077416,The Deer Hunter,23.782843318937132
tt1010048,Slumdog Millionaire,23.668831168831165
tt0080388,"Atlantic City, USA",23.484848484848484
tt0093389,The Last Emperor,23.145604395604394
tt0035446,To Be or Not to Be,23.076923076923077
tt0114709,Toy Story,23.028335185042838
tt0092337,Dekalog,22.971250079683816
tt0032455,Fantasia,22.940874914559124
tt0069995,Don't Look Now,22.62998972677442
tt0138097,Shakespeare in Love,22.582805849612573
tt0172495,Gladiator,22.563054524428818
tt0060176,Blowup,22.530160572260257
tt0033870,The Maltese Falcon,22.45199788178211
tt2402927,Carol,22.321428571428573
tt0063850,If....,21.9696607740086
tt0089881,Ran,21.668862245936207
tt0117589,Secrets & Lies,21.50607375642185
tt0169547,American Beauty,21.475862125784236
tt2076220,Holy Motors,21.428571428571427
tt0101561,Chameleon Street,21.428571428571427
tt2395427,Avengers: Age of Ultron,21.428571428571427
tt8471116,Cat in the Wall,21.428571428571427
tt0016884,Flesh and the Devil,21.428571428571427
tt0154942,Neecha Nagar,21.428571428571427
tt0078902,Breaking Away,21.428571428571427
tt0038192,The True Glory,21.428571428571427
tt0106226,The Age of Innocence,21.428571428571427
tt0082484,La guerre du feu,21.428571428571427
tt0021577,L'âge d'or,21.428571428571427
tt0022599,À nous la liberté,21.428571428571427
tt0053226,Room at the Top,21.354166666666668
tt1832382,Jodaeiye Nader az Simin,21.10517919925256
tt0092593,Au revoir les enfants,21.076127819548873
tt0457430,El laberinto del fauno,21.03990737160455
tt0074119,All the President's Men,20.97615554096557
tt0041154,Banshun,20.87666027993375
tt0063385,Oliver!,20.87435796368838
tt0018578,Wings,20.474137931034484
tt1375666,Inception,20.1851827607876
tt0477348,No Country for Old Men,20.139602053915276
tt0033804,The Lady Eve,20.073276015998857
tt0054331,Spartacus,19.87133237133237
tt0166924,Mulholland Dr.,19.82598825620078
tt0052893,Hiroshima mon amour,19.81747638326586
tt0066921,A Clockwork Orange,19.750083380256246
tt0032551,The Grapes of Wrath,19.684348224576535
tt0055630,Yôjinbô,19.641518657324426
tt0061418,Bonnie and Clyde,19.625041625041625
tt0405159,Million Dollar Baby,19.376849698317997
tt0062136,Playtime,19.171055673645935
tt0407887,The Departed,18.939183581378085
tt6390668,A Vida Invisível,18.75
tt0040285,Design for Death,18.75
tt0083611,La balance,18.75
tt0027478,Le crime de Monsieur Lange,18.75
tt1201607,Harry Potter and the Deathly Hallows: Part 2,18.75
tt0068983,My Childhood,18.75
tt0037426,Velikiy perelom,18.75
tt0049665,Reach for the Sky,18.75
tt0081150,Melvin and Howard,18.75
tt0102687,Poison,18.75
tt0084865,Victor Victoria,18.75
tt0038355,The Big Sleep,18.488372093023255
tt0058385,My Fair Lady,18.46166142042101
tt0073198,"Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles",18.358395989974937
tt0072684,Barry Lyndon,18.102504590514208
tt0048452,Ordet,17.805581760661333
tt0038348,La belle et la bête,17.740589386439506
tt0032904,The Philadelphia Story,17.502442107894044
tt0212720,Artificial Intelligence: AI,17.494028444327572
tt0019071,The Last Command,17.236024844720497
tt0064665,Midnight Cowboy,17.175872823275032
tt0046478,Ugetsu monogatari,17.126454427925015
tt0004972,The Birth of a Nation,17.045454545454547
tt1560747,The Master,16.947565543071164
tt0055601,Viridiana,16.906768992754998
tt1392190,Mad Max: Fury Road,16.8368383006853
tt0133093,The Matrix,16.810481484082633
tt0020475,Tagebuch einer Verlorenen,16.724137931034484
tt0151568,Topsy-Turvy,16.689021527731207
tt0011841,Way Down East,16.666666666666668
tt0104503,In the Soup,16.666666666666668
tt0040767,The Secret Land,16.666666666666668
tt0070424,My Ain Folk,16.666666666666668
tt0048542,Die Ratten,16.666666666666668
tt9792010,Exemplary Behaviour,16.666666666666668
tt0039004,La symphonie pastorale,16.666666666666668
tt2294629,Frozen,16.666666666666668
tt0268978,A Beautiful Mind,16.638673826173825
tt1285016,The Social Network,16.569431051108968
tt0245429,Sen to Chihiro no kamikakushi,16.556096370270765
tt0067328,The Last Picture Show,16.51138097106742
tt0061512,Cool Hand Luke,16.463843862041102
tt0299658,Chicago,16.453374211994902
tt0026138,Bride of Frankenstein,16.446871272886185
tt0116209,The English Patient,16.436557927542296
tt0117951,Trainspotting,16.37829800213512
tt0052561,Anatomy of a Murder,16.362116947092318
tt0167404,The Sixth Sense,16.07675881816923
tt0049518,Le monde du silence,15.966386554621849
tt4925292,Lady Bird,15.779220779220779
tt0079470,Life of Brian,15.544588525065198
tt0375679,Crash,15.326086956521738
tt0031971,Stagecoach,15.318512099723344
tt0065571,Il conformista,15.293465146658376
tt0100024,Life Is Sweet,15.21531100478469
tt0055506,A Taste of Honey,15.178571428571429
tt0104036,The Crying Game,15.14423076923077
tt0091251,Idi i smotri,15.141579230562282
tt0114814,The Usual Suspects,15.042144472260356
tt0084422,La notte di San Lorenzo,15.0
tt5665630,Skandinaavia vaikus,15.0
tt0049367,Invitation to the Dance,15.0
tt0086650,À nos amours,15.0
tt0041283,Daybreak in Udi,15.0
tt0077964,My Way Home,15.0
tt0023649,Vampyr,15.0
tt0108000,Ruby in Paradise,15.0
tt0037871,Die letzte Chance,15.0
tt0053242,Sapphire,15.0
tt2771200,Beauty and the Beast,15.0
tt0037008,Laura,14.942677314506438
tt0067116,The French Connection,14.845523546662067
tt0053168,Pickpocket,14.828139764918467
tt0091763,Platoon,14.822267541478428
tt0097937,My Left Foot: The Story of Christy Brown,14.7789795754046
tt0109831,Four Weddings and a Funeral,14.700549539356716
tt0042593,In a Lonely Place,14.685314685314685
tt0047528,La strada,14.627994357117746
tt0026778,A Night at the Opera,14.44327731092437
tt0081283,Ordinary People,14.37192118226601
tt0993846,The Wolf of Wall Street,14.217557251908397
tt0032156,Zangiku monogatari,14.204545454545455
tt0086425,Terms of Endearment,14.174107142857142
tt0065214,The Wild Bunch,14.116589734891251
tt0056194,The Loneliness of the Long Distance Runner,13.997477931904161
tt0079944,Stalker,13.894431234441218
tt0338013,Eternal Sunshine of the Spotless Mind,13.727726851375014
tt7725384,1982,13.636363636363637
tt0107895,Public Access,13.636363636363637
tt0043050,The Titan: Story of Michelangelo,13.636363636363637
tt0088002,Les ripoux,13.636363636363637
tt4630562,The Fate of the Furious,13.636363636363637
tt0018528,The Unknown,13.636363636363637
tt0089853,The Purple Rose of Cairo,13.636363636363637
tt0099348,Dances with Wolves,13.499714500518657
